時間,コメント,
493.217,エイムあったまってるな,
493.399,ローレンに勝て！！！ら,
493.45,ローレンキラーやな,
493.905,葛葉エイムが良いし、チームつよいぞー,
494.692,いいねいいね,
495.507,強すぎやって,
496.61,ナイス！,
497.054,いいねぇ！,
499.408,チームつよくなってる,
500.022,今日いいよおおおおおおお,
501.644,うまい！,
502.968,ぐるぐる,
503.734,葛葉強いぞー！,
503.856,かるびの報告成長しすぎじゃない。。？,
504.521,ローレン潰したらいい感じや,
505.368,がんばれーー！！,
506,緊張するーーーー頑張れーーー！！！,
507.171,頑張れ！,
507.547,Have fun.,
509.752,読みと立ち回りいい感じ,
510.272,うおおおおおお,
510.425,がんばれ,
512.167,まじでコールも流れもいい！！,
512.137,頑張れ！,
512.95,限界ポジの王子だからな,
514.304,めっちゃ良い,
515.93,足,
516.411,ヒバが想像以上に強い,
517.704,皆落ち着いてるしコールいい,
518.626,頑張れ,
519.625,対よろー！,
519.834,にじさんじ最強,
520.338,ロレにかてー,
520.469,今きた最終日がんばれ〜！！,
520.758,かるび上手くなったなー,
522.635,かるびちゃんほんとすごい,
523.302,いけー,
525.152,かるびさんナイスコール,
527.326,カルビコールいい,
530.795,報告がいいな！,
530.956,かるびコールめちゃいいぞ,
532.681,がんばれー！,
532.618,いい報告,
532.658,かるびいいコールだ,
534.8,かるびめっちゃ報告いい,
535.337,かるびいいね,
535.509,報告の成長がエグい,
535.831,がんばれー！,
536.004,かるびのコールよくなりすぎだろ,
536.425,かるびいいね〜,
536.593,カルビ報告めっちゃ良くなってる！,
538.13,かるび報告すごい,
538.693,頑張って,
538.91,お互いにｗ,
539.602,かるびさんもいい声でてる！がんば！,
540.169,がんばれ！！,
540.448,いいよ,
545.924,どま,
547.981,惜しい,
548.28,クロスかー,
549.464,かるびすげ,
549.923,おしい,
550.363,惜しい,
550.712,ナイスよ,
551.262,にじ最強は葛葉だろ！？？,
554.149,カルビぃー,
555.853,かるびの手術成功したのか,
556.876,相手のナイスカバーだ,
557.075,nt,
558.323,nt,
559.322,nt,
559.995,nt,
560.121,nt,
561.096,どまどま,
561.121,nt,
561.38,どま,
561.77,おしい,
561.831,nt,
561.964,nt,
562.084,nt,
562.094,nt,
562.381,強いな,
562.463,nt,
562.805,ないとら,
563.137,んｔ,
563.375,nt,
563.868,どまです,
563.927,nt,
563.954,nt,
563.953,ntnt,
563.97,nt,
564.092,nt,
564.319,nt,
564.313,おし,
564.517,nt,
564.635,どまどま！,
565.002,nt,
565.102,nt!,
565.798,nt,
565.911,nt,
565.999,nt,
566.043,ないとら！！！,
567.737,nt,
567.772,nt,
567.785,nt,
568.104,nt,
568.321,nt,
568.416,対よろファイト！,
568.497,nt,
569.582,nt,
570.222,nt,
570.497,nt,
571.6,nt,
571.801,どま,
571.8,nf,
572.31,ロレつんよ,
572.445,nt,
573.278,nt,
574.107,さすがローレンだ,
574.553,nt,
574.503,nt,
574.7,nt,
575.288,対よろ,
575.613,いいコール！,
575.745,nt,
576.641,nt,
577.224,つーよ,
577.615,nt,
579.185,おしいよ,
579.845,どま,
580.061,がんばれー！,
581.538,nt,
582.772,めっちゃコールいいな,
585.429,いいよーないすー,
585.865,どま,
586.093,nt,
586.676,KOROSSS ,
587.832,ろーれんさすがだな,
588.679,ないとら,
588.989,コールめっちゃいいな,
590.456,修正していくのよき～,
592.819,やっちゃえやっちゃえｗ,
594.13,やつまちまえー！！,
595.658,GO,
595.879,守りいいぞ,
596.034,対よろ！,
598.298,応援してる♡,
599.014,大丈夫！行けてるよ！,
600.211,今日みんなチルだね,
601.491,頑張れ！,
601.907,がんばれー,
603.8,ファイティング,
609.223,応援してるよ〜,
610.006,いけー,
612.036,ganbare!,
616.085,おお,
619.049,おおナイス,
619.667,つよ,
619.971,リーダーナイス！,
621.229,おおお！,
622.865,おおおー,
622.846,ナイス！,
623.56,つよい,
623.892,おおおお,
623.922,ナイス,
624.204,つよ,
625.154,でかい,
625.469,ないす！！,
626.278,つよ,
626.305,ないす,
626.281,水無瀬ないす！,
626.726,つよ,
627.458,チャームきになるなぁ～,
628.965,男待ちｗ,
630.208,ナイス,
630.665,どまよん,
631.236,リーダーつよい！,
631.435,実りのあるバイ時の報連相いいな,
631.749,ないすよ！,
632.458,ふぁいてぃん〜,
634.051,うま,
635.209,ナイス,
636.544,応援してるよー！,
638.502,いけー,
642.812,おしい,
644.402,ntnt,
645.107,nt,
645.428,のせさんつええな,
646.386,nt,
646.407,おっし,
646.909,おしいnt,
647.218,おしい！,
647.296,nt,
647.348,おしいおしい,
647.411,おしい,
648.359,おし,
648.401,どまどま,
648.464,nt,
648.893,ないとら～,
648.794,おしい,
648.856,おしい！,
648.955,nt,
649.441,どまです,
649.622,nt,
649.622,おしい！,
649.836,nt,
649.866,nt,
649.979,nt,
650.094,惜しい,
650.268,nt,
650.243,nt,
650.514,nt,
650.651,nt,
650.63,nt,
650.77,うま,
650.77,ntnt,
650.996,まじかよのせさん,
651.12,おしー,
651.134,nt,
651.419,どんまい！,
651.814,nt,
651.838,ntnt,
651.939,おっしいい,
651.978,おっしい,
652.12,nt,
652.156,nt,
652.679,おっしいいい,
652.683,おしい,
654.386,nt,
654.731,nt,
654.991,nt,
655.279,どま！,
655.283,おしい,
655.473,nt,
655.639,おしい,
655.736,おしい〜,
655.76,おしー！,
656.425,イイネ,
656.555,おしいおしい！,
657.045,おしい,
657.102,どま,
657.293,おし,
657.352,おしい,
657.4,おしい,
657.435,おしいぞ,
657.653,nt！,
658.066,nt,
658.575,おしい！,
659.547,nt,
659.493,おしいおしい！,
659.955,バラバラ,
660.956,クラッチクイーンすぎる,
661.091,おしいぞ,
661.146,大丈夫だよ～,
661.212,いいチャレンジだよ！,
661.27,おしー,
661.608,nt,
661.677,nt,
661.905,nt,
