時間,コメント
444.742,登録者のみにしてほしいわ…w
444.803,衛門とエセ衛門が混じっとるな
444.941,チェンさん駄目なんだ
445.039,ふぁいとおおおおおおお！！！
445.059,がんばれー！
447.869,最強メンツ
448.182,破壊してしまうか？
448.984,チェンバーくん...
449.027,葛葉頑張れー!モデレーターさんも頑張れー!
449.707,にょっす
450.219,がんばれー！
450.864,?????
452.321,やっぱりかｗ
453.144,だめかチェンバー
453.492,チェンさん；；
453.599,ズバァッ！！
453.599,チェンさん…
454.28,構成これでいんじゃね？w
454.709,チェンさん
455.132,なしか…w
455.171,人間の葛葉さんやぁ
455.159,始まればすぐ緊張溶けるから葛葉なら大丈夫
455.141,こん〜
455.418,チェンさん
455.683,言ってるだけか
455.88,コーチww
455.991,マジの衛門は高評価押して帰るぞ
456.012,今日ちょっと印象悪いかww
456.262,緊張してるらしいな
456.28,コメ欄全然荒れてないよ賑やかなだけ
457.19,やあ
457.415,ふぁいてぃ〜ん
457.602,ふぁいてぃーん！
457.713,まこう
457.773,スカイでキャリーするかあ
458.23,緊張してるな
458.385,葛葉がんばれ
458.509,チェンさんあかんか
458.657,チェンさん；；
458.871,思ったより荒れてないな
459.42,ケイオーやめた？
459.485,楽しみやぁ！！
459.981,がんば
460.679,適当なんだｗ
460.679,感謝
460.9,めいくん今日CRのスタジオかどっか居んのかな
462.557,かみと。さん。
463.94,加藤純一さんいる
464.057,すまにょ
464.74,こるちかっこいい
464.874,ロックマンよりマシだw
466.405,こん〜
466.486,葛葉がんばれ！
466.566,がんばれー！
467.098,すまにょ
467.378,めいさんのスペルミスってるかも！タイトル
468.103,適当なんだ
468.668,対よろ！！がんばれ！！
468.925,葛葉がんば～
469.059,良さげじゃないか？
469.962,今日はいつものいじりできてなくてすまにょ
470.088,自治無しで衛門とは仲良くいこう
470.756,そうやったんか…
472.461,楽しんでー
473.042,これで荒れてるってただ挨拶してるだけやん
473.727,お
474.036,おおお
474.229,荒らしちゃってすまにょ
474.245,人間の葛葉
474.701,おー
475.388,純いくわ
475.408,おお
476.191,お〜
476.47,おお
476.539,おお！！
476.553,いいねー！
476.56,まんぜう
477.17,高評価押して帰れな
477.451,いいやん
477.755,なんか新鮮だ
477.84,にゃっす
478.379,おおw
479.396,お〜
479.721,荒れてると聞いて
480.022,完成した
480.619,対よろ
481.132,いいね
481.698,いいね
481.835,いいねー！！
481.855,なにかあったの？病気？怪我？まさか事故じゃないよね！？心配だよ～声聞きたいよ～
482.078,っさんたちこんばんは
482.498,やあ
482.628,いいね
484.24,6人
484.376,六人チームや
484.51,6人ね
484.625,おお
484.821,ずるです
484.897,がんばれ葛葉
486.384,いいね
486.581,決まったかw
488.098,にょっす
488.168,6人ね
488.527,更新したら名前直ってますよ
491.512,にょっす
492.038,にょっす
492.192,ヨルマ？
492.421,やあ
492.781,kyoもいけるよな
493.822,にょっす！にょっす！にょっす！にょっす！にょっす！にょっす！にょっす！
494.225,六人！？？
494.679,緊張してるねぇ
494.788,Maiy→Meiy
494.845,にょっす！
495.689,かみ―とみてるとチェンクッソ強いと錯覚する
496.829,草
497.092,対立煽りやめてね
497.472,対よろ
497.746,草
498.216,ええやんええやん
499.037,草
499.159,名前は直ってますよ
499.167,草
500.478,びびってんの
500.679,にょ、にょまれ〜！
500.912,草
502.324,人間の葛葉
502.96,草
503.009,草
504.44,にょっす
504.574,草
504.586,コメ欄おもろw
504.992,草
504.997,草
505.15,草
505.202,にょっす
506.829,草
507.525,人間の葛葉
508.575,にょっす
509.002,皆のvcちょい大きいかも。
509.197,コーチ名は更新したらなおってるよ
510.882,壊しに行くか
512.993,2デュエガチ破壊？
513.166,草
513.196,草
513.486,賑やかやなあ
513.537,おい、おもろいこといえよ
514.016,やっす
514.313,嫌っすw
516.044,なんか着てて草
516.135,よろ
516.139,Noと言える葛葉
516.873,葛葉ジェットいくか
516.993,ジェットキャリープリーズ
517.834,草
518.299,にょっすってあいさつ可愛いね
518.475,くずはー？
518.497,名前直ってるよ リログしなね
518.951,葛葉さんゲーム音少し上げてください
519.175,いやっすw
519.349,せやな！
519.958,デュエは荷が重いなｗ
520.551,草
520.549,コーチー
520.541,草
520.679,草
520.834,関ジェットあり
520.871,おい！もっと喋れ！
520.887,草
521.124,拒否ww
521.201,草
521.765,草
522.587,いいね
522.735,草
522.781,おおおおお
522.845,いいね
523.036,草
523.2,わかる
524.082,それはそう
524.061,それはそう
524.118,草
524.419,ガチや！
524.764,勝とう
524.837,重すぎ重すぎw
524.985,嫌がってるw
525.909,草
526.263,んふふwそうよね～！
526.394,それはそうw
526.475,勝ちてえな
526.595,そうねww
526.733,草
526.873,ww
527.962,草
528.153,勝ちてぇよなぁ！
528.39,いいねー
528.435,それはそう
528.543,勝ちてえよなぁ
528.557,うおおおおおおおおおおおおおおお
528.645,どうせならねw
528.887,草
528.901,もう無いんだよね
529.104,いいねぇ
529.678,w
529.78,それはそう
530.407,いい意気込みだ
530.55,確かにw
530.714,草
530.735,草
531.023,草
532.326,大事にいこうｗ
532.353,頑張れー！
532.598,草
533.401,かみーとはチェンバフあるから
533.534,草
533.961,勝ちてぇ…！
534.322,楽しんでけw
534.518,草
534.789,勝ちたいよなぁ！！
534.814,がんばれー！
534.82,あ タイトルの名前修正してるよ
535.053,草
535.128,う
535.87,そうよなそうよな
536.564,そうだ
536.926,ジェットは荷が重いw
536.965,勝ちたい！
537.027,草
537.126,加藤ね
537.171,ジャージ臭そう
537.212,それはそう
537.309,草
537.32,勝ちにいこ
537.348,勝ちたいね
537.423,それはそうw
537.689,それはそうw
537.869,うおおおおおおおおおおおお頑張れ
537.869,勝とうぜ！
537.999,草
538.066,葛葉ありがとうな
538.19,勝つぞー！！！！
538.199,がんばれ！
538.384,かわいいなw
538.586,それはそう
538.615,そうねw
538.736,勝とうぜ
539.139,うんうん
539.16,勝ちてえね
539.678,いいねぇ！
540.658,それはそう
