時間,コメント
3890.932,wwww
3891.972,ｗｗｗｗ
3892.098,ｗｗ
3893.294,ｗｗｗ
3893.995,wwwwww
3895.756,www
3896.088,いないw
3896.306,www
3897.032,だめだぁｗ
3897.131,ままーのしてるw
3897.311,ゴリちゃん！？
3897.318,ぐだぐだw
3897.706,www
3897.989,ｗｗｗ
3898.169,wwww
3898.185,www
3898.895,わちゃわちゃｗ
3900.042,wwwww
3906.523,ヨチヨチゴリラｗ
3913.129,スパァ？
3918.079,つよ
3926.937,wwwwwwww
3928.817,nt！w
3929.659,www
3930.523,えぐwww
3930.864,ｗｗｗ
3931.101,舐めプかぁ？？？
3931.134,wwww
3932.082,ｗｗｗ
3933.703,くっそｗｗｗ
3934.342,WWW
3934.797,なめぷ
3934.746,振り返ったらめっちゃいるｗｗ
3935.05,nt！
3935.278,www
3937.358,nt
3942.511,nt
3943.051,ドラミングしてけぇ
3943.121,ｗｗｗ
3961.754,キモすぎですw
3963.373,これはキモいww
3963.845,wwww
3963.989,多いてwww
3965.036,きっしぇｗｗ
3968.3,エグい待ち方しようとしてるw
3970.277,距離取られたら終わりやなwwww
3971.502,www
3973.173,ｗｗｗｗｗｗｗｗ
3974.327,ｗｗｗ
3974.973,いなくね？
3977.518,なんか静かだなぁ
3981.609,トコトコなんよね
3985.646,行くべｗｗ
3988.128,えぐいｗ
3988.195,きもｗｗｗ
3989.435,登下校の班かな？
3990.655,ドラクエやめてw
3990.731,wwwww
3991.912,www
3993.193,トコトコでワロタ
3995.548,一旦リテイクか
3998.853,戦国ゲーミングみたいなことしてるなw
3999.849,詰んだw
4000.594,www
4002.63,きもすぎｗｗ
4003.407,５段ｗ
4004.018,wwwww
4005.058,5段えぐいw
4005.995,wwww
4006.777,キモいなぁwwww
4007.651,www
4008.256,どうすんのよこれｗｗｗ
4012.613,きもすぎぃｗ
4013.382,サムネ間違ってません？
4013.662,もうこのラウンド捨ててるwwww
4015.695,こなかったらやべえｗ
4016.535,www
4017.87,www
4018.416,このラウンドなんだよw
4019.213,もう解除は捨ててるの草
4019.966,キモすぎです
4023.702,wwwwww
4023.804,これどうゆう状況w
4025.269,ｗｗｗｗｗ
4025.456,wwwwwwwww
4026.086,wwwww
4026.251,え？
4026.36,wwwwwwww
4026.799,ねぇー
4028.128,なにこれｗｗｗｗ
4028.243,wwwwwwww
4028.646,wwwwwwww
4028.657,滑稽すぎるww
4029.081,終わってるよwwwwww
4029.375,ｗｗｗｗｗｗｗ
4030.68,wwwww
4030.685,wwwww
4030.801,www
4030.868,ｗｗｗｗ
4031.009,wwwwww
4032.807,wwwww
4033.026,wwww
4033.033,wwww
4033.231,wwww
4033.601,全員かよ
4033.907,なにこれｗｗ
4034.042,ｗｗｗｗｗ
4035.058,www
4037.034,めちゃくちゃだよw
4037.964,全員吹っ飛んだしｗｗｗ
4038.358,wwww
4039.421,wwww
4039.405,www
4040.568,競技シーンですか？
4040.77,wwwww
4041.313,nt
4041.432,ガチで終わってるw
4041.579,www
4041.836,wwwww
4053.271,敵さん？？？？ってなってるよw
4054.993,まぁここからだよなぁ
4056.507,草
4057.316,おかわりw
4057.435,カスタムならではの面白さ
4066.218,きしょめwwwだ
4079.765,あれw
