投稿時間,コメント,ラベル,,,,,,,,,
1069.296,大剣一番かっこいいですよ,,,,,,,,,,
1072.527,MHWコラボ来る？,,,,,,,,,,
1073.482,いーやガンランスだね,,,,,,,,,,
1075.514,やっぱライトボウガンでしょ,,,,,,,,,,
1079.485,あれ,,,,,,,,,,
1079.404,うーん解釈一致,,,,,,,,,,
1080.472,ありぴー！！！！,,,,,,,,,,
1080.728,あっ,,,,,,,,,,
1080.898,え,,,,,,,,,,
1080.971,落ちた？ww,,,,,,,,,,
1083.456,え？,,,,,,,,,,
1084.187,えええええええええ,,,,,,,,,,
1084.614,草,,,,,,,,,,
1084.715,ありぴ？？？,,,,,,,,,,
1084.839,2nd出身は太刀だよね,,,,,,,,,,
1085.027,あれｗｗｗ,,,,,,,,,,
1085.095,配信落ちた,,,,,,,,,,
1085.541,ありさかさん落ちてね？,,,,,,,,,,
1085.77,ありぴ！？w,,,,,,,,,,
1085.817,双剣に決まってるんだよなぁ,,,,,,,,,,
1086.538,え,,,,,,,,,,
1086.58,回線ゴールド,,,,,,,,,,
1087.37,え？,,,,,,,,,,
1087.605,ありぴ！？,,,,,,,,,,
1088.153,ありぴ！？,,,,,,,,,,
1088.04,ありぴ！？,,,,,,,,,,
1088.383,えー配信ごと逝きました,,,,,,,,,,
1088.462,切断してるw,,,,,,,,,,
1088.714,あら,,,,,,,,,,
1089.441,ありぴw,,,,,,,,,,
1089.358,えwww,,,,,,,,,,
1089.442,ありさか！？,,,,,,,,,,
1089.845,落ちた？,,,,,,,,,,
1090.576,あれ？,,,,,,,,,,
1091.109,ありぴ！？,,,,,,,,,,
1091.381,ありさかさん！？,,,,,,,,,,
1092.017,ありぴ配信落ちちゃった,,,,,,,,,,
1092.897,ありさかさーーーん,,,,,,,,,,
1093.399,ありゃ,,,,,,,,,,
1093.939,ありぴ配信も落ちてる,,,,,,,,,,
1094.351,やっぱ海外だからw,,,,,,,,,,
1094.369,配信も落ちてます,,,,,,,,,,
1095.542,宮崎回線,,,,,,,,,,
1095.768,宮崎回線ww,,,,,,,,,,
1097.219,宮崎回線,,,,,,,,,,
1097.508,ありさかさんのはいしんおわたｗ,,,,,,,,,,
1097.936,あれ,,,,,,,,,,
1098.465,wwwwwww,,,,,,,,,,
1099.278,ありさかさん！？,,,,,,,,,,
1099.431,でたw宮崎回線www,,,,,,,,,,
1100.218,宮崎回線,,,,,,,,,,
1100.227,配信も落ちたよ,,,,,,,,,,
1101.654,aripiーーーーーー,,,,,,,,,,
1102.844,これが宮崎回線かぁ,,,,,,,,,,
1103.559,放送も止まってて草,,,,,,,,,,
1103.633,ありぴ～～～～～～～～！！！！！！！！,,,,,,,,,,
1104.678,配信ごと落ちてる,,,,,,,,,,
1105.18,宮崎回線がw,,,,,,,,,,
1105.772,配信も落ちてるね,,,,,,,,,,
1106.259,マービンかもしれん,,,,,,,,,,
1106.307,宮崎回線からきました,,,,,,,,,,
1106.519,窓の外見てるｗｗｗ,,,,,,,,,,
1106.672,ありぴ配信も落ちた,,,,,,,,,,
1107.279,www,,,,,,,,,,
1108.363,お外見てるｗ,,,,,,,,,,
1108.717,ｗｗｗｗ,,,,,,,,,,
1108.946,異国の地だから,,,,,,,,,,
1109.292,草,,,,,,,,,,
1110.177,黄昏てるwww,,,,,,,,,,
1111.233,マービンやん,,,,,,,,,,
1111.603,回線弱いから許してあげて,,,,,,,,,,
1112.133,外見てるｗｗ,,,,,,,,,,
1112.251,佇んでるw,,,,,,,,,,
1113.934,www,,,,,,,,,,
1115.703,宮崎って遠いんやな・・・,,,,,,,,,,
1116.092,wwwwwwwww,,,,,,,,,,
1116.33,配信おわった,,,,,,,,,,
1116.593,ユーチューブも落ちた,,,,,,,,,,
1118.515,宮崎ブラジル支店だからね,,,,,,,,,,
1120.003,ｗｗｗｗ,,,,,,,,,,
1120.109,配信も落ちてて草,,,,,,,,,,
1120.443,マーヴィンみたいや,,,,,,,,,,
1120.973,discごといかれたw,,,,,,,,,,
1121.619,ありぴ配信おちた,,,,,,,,,,
1121.961,黄昏てるなあw,,,,,,,,,,
1123.989,外出すのえぐいw,,,,,,,,,,
1125.769,まただるま運送w,,,,,,,,,,
1126.746,外見てたwww,,,,,,,,,,
1128.931,配信も落ちてるんかな？,,,,,,,,,,
1130.008,配信ごと逝ったw,,,,,,,,,,
1131.039,宮崎ってそんなやばいん？,,,,,,,,,,
1132.576,www,,,,,,,,,,
1135.424,ありぴ…,,,,,,,,,,
1137.336,敵居るww,,,,,,,,,,
1137.582,宮崎電波塔ないんか？ｗｗｗ,,,,,,,,,,
1139.881,まずいｗ,,,,,,,,,,
1140.027,ping40だっけ?,,,,,,,,,,
1142.229,ちょいちょいだるまさん殴ってるの草,,,,,,,,,,
1143.233,あリピがイカれた…かわいそう,,,,,,,,,,
1144.073,宮崎だけじゃないけど弱いで,,,,,,,,,,
1144.272,いかんいかんｗｗ,,,,,,,,,,
1144.633,宮崎回線かぁ,,,,,,,,,,
1149.007,こんひな~！,,,,,,,,,,
1152.771,www,,,,,,,,,,
1154.032,行けるわけないだろw,,,,,,,,,,
1155.76,MIYAZAKIだからしゃあないな,,,,,,,,,,
1157.085,おし,,,,,,,,,,
1158.035,ふざけてたら負けるww,,,,,,,,,,
1159.303,ポータル？,,,,,,,,,,
1159.798,ジャンパや,,,,,,,,,,
1160.064,www,,,,,,,,,,
1166.87,ジャンパ使おうよ,,,,,,,,,,
1167.144,ジャンパ使って空中で殴った方が早いし2戦目だし,,,,,,,,,,
1167.45,www,,,,,,,,,,
1167.535,ポータル繋げば,,,,,,,,,,
1167.88,1戦目......？,,,,,,,,,,
